,Scientific Name,Common Name,Order,Family
1075,Herpetogramma licarsisalis,grass caterpillar,Lepidoptera,Crambidae
1076,Chrysomela vigintipunctata,spotted willow leaf beetle,Coleoptera,Chrysomelidae
1077,Dromogomphus spinosus,Black-Shouldered Spinyleg,Odonata,Gomphidae
1078,Papilio clytia, swallowtail butterfly,Lepidoptera,Papilionidae
1079,Tylozygus bifidus,,Hemiptera,Cicadellidae
1080,Pseudopanthera macularia,the speckled yellow,Lepidoptera,Geometridae
1081,Catocala vidua,Widow underwing,Lepidoptera,Erebidae
1082,Parapoynx badiusalis,chestnut-marked pondweed moth,Lepidoptera,Crambidae
1083,Mythimna convecta,"Common Armyworm, Australian Armyworm",Lepidoptera,Noctuidae
1084,Neoalcis californiaria,Brown-Lined Looper,Lepidoptera,Geometridae
1085,Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae
1086,Euphoria sepulcralis,Spangled Flower Beetle,Coleoptera,Scarabaeidae
1087,Chlorochroa sayi,Say's stink bug,Hemiptera,Pentatomidae
1088,Acontia trabealis,Spotted Sulfur ,Lepidoptera,Noctuidae
1089,Danaus eresimus,Tropical queen,Lepidoptera,Nymphalidae
1090,Eueretagrotis perattentus,Two-Spot Dart,Lepidoptera,Noctuidae
1091,Parnassius clodius,,Lepidoptera,Papilionidae
1092,Hyposidra talaca,"black looper, black inch worm",Lepidoptera,Geometridae
1093,Agapostemon splendens,Brown-Winged Striped-Sweat Bee,Hymenoptera,Halictidae
1094,Parnassius apollo,"apollo, mountain apollo butterfly",Lepidoptera,Papilionidae
1095,Acanthocephala alata,"Leaf-footed bugs, pod bugs, squash bugs ",Hemiptera,Coreidae
1096,Cyclophora packardi,Packard's wave moth,Lepidoptera,Geometridae
1097,Harrisina americana,Grapeleaf skeletonizer,Lepidoptera,Zygaenidae
1098,Delias pasithoe,Redbase Jezebel,Lepidoptera,Pieridae
1099,Illeis galbula,Fungus-eating Ladybird,Coleoptera,Coccinellidae
1100,Blatta orientalis," Oriental Cockroach,black beetle,water bug",Blattodea,Blattidae
1101,Cryphia algae,tree-lichen beauty,Lepidoptera,Noctuidae
1102,Lestes unguiculatus,lyre-tipped spreadwing,Odonata,Lestidae
1103,Danaus erippus,Southern monarch,Lepidoptera,Nymphalidae
1104,Orthetrum brunneum,Southern skimmer,Odonata,Libellulidae
1105,Homophoberia apicosa,black wedge-spot,Lepidoptera,Noctuidae
1106,Chiomara georgina,White-patched skipper,Lepidoptera,Hesperiidae
1107,Enallagma cyathigerum,Common Blue Damselfly,Odonata,Coenagrionidae
1108,Philanthus triangulum,European Beewolf,Hymenoptera,Crabronidae
1109,Junonia coenia,"common buckeye, buckeye",Lepidoptera,Nymphalidae
1110,Feltia jaculifera,"dingy cutworm, bent-line dart",Lepidoptera,Noctuidae
1111,Mocis marcida,Withered Mocis,Lepidoptera,Erebidae
1112,Hestina assimilis,Red ring skirt,Lepidoptera,Nymphalidae
1113,Speyeria aphrodite,the Aphrodite fritillary,Lepidoptera,Nymphalidae
1114,Chlosyne harrisii,Harris's checkerspot,Lepidoptera,Nymphalidae
1115,Typocerus velutinus,"Banded Longhorn, Cerambycid Beetle",Coleoptera,Cerambycidae
1116,Junonia genoveva,mangrove buckeye,Lepidoptera,Nymphalidae
1117,Phalanta phalantha,"spotted rustic, common leopard",Lepidoptera,Nymphalidae
1118,Mythimna oxygala,Lesser Wainscot ,Lepidoptera,Noctuidae
1119,Virbia laeta,Joyful Holomelina,Lepidoptera,Erebidae
1120,Melacoryphus lateralis,Black and Red Seed Bug,Hemiptera,Lygaeidae
1121,Ocyptamus fuscipennis,,Diptera,Syrphidae
1122,Pentatoma rufipes,"forest bug, four-legged shieldbug",Hemiptera,Pentatomidae
1123,Euphilotes bernardino,Bernardino blue,Lepidoptera,Lycaenidae
1124,Sphinx poecila,Northern Apple Sphinx,Lepidoptera,Sphingidae
1125,Cassida rubiginosa,Thistle tortoise beetle,Coleoptera,Chrysomelidae
1126,Crypsiphona ocultaria,"red-lined looper moth, red-lined geometer",Lepidoptera,Geometridae
1127,Oedemera femorata,,Coleoptera,Oedemeridae
1128,Autographa precationis,Common Looper Moth,Lepidoptera,Noctuidae
1129,Euschistus servus,Brown stink bug,Hemiptera,Pentatomidae
1130,Meconema meridionale,Southern Oak Bush-cricket,Orthoptera,Tettigoniidae
1131,Lethocerus americanus,giant water bug,Hemiptera,Belostomatidae
1132,Aeshna constricta,Lance-Tipped Darner,Odonata,Aeshnidae
1133,Acleris forsskaleana,Maple Leafier Moth,Lepidoptera,Tortricidae
1134,Culladia cuneiferellus,Australian lepidoptera,Lepidoptera,Crambidae
1135,Asbolis capucinus,Monk Skipper,Lepidoptera,Hesperiidae
1136,Lygus lineolaris,tarnished plant bug,Hemiptera,Miridae
1137,Arctia plantaginis,Wood Tiger,Lepidoptera,Erebidae
1138,Promalactis suzukiella,Suzuki's Promalactis Moth,Lepidoptera,Oecophoridae
1139,Austrolestes analis,slender ringtail,Odonata,Lestidae
1140,Camponotus castaneus,reddish carpenter ant,Hymenoptera,Formicidae
1141,Rhagium mordax,Black-spotted longhorn beetle,Coleoptera,Cerambycidae
1142,Microtia elva,The Elf Butterfly,Lepidoptera,Nymphalidae
1143,Apoda y-inversum,The Elf Butterfly,Lepidoptera,Limacodidae
1144,Ischnura elegans,"The blue-tailed damselfly, common bluetail ",Odonata,Coenagrionidae
1145,Habrodais grunus,Golden Hairstreak,Lepidoptera,Lycaenidae
1146,Isodontia mexicana,Mexican grass-carrying wasp,Hymenoptera,Sphecidae
1147,Condica vecors,dusky groundling,Lepidoptera,Noctuidae
1148,Phyciodes pulchella,the field crescent,Lepidoptera,Nymphalidae
1149,Cisthene tenuifascia,Thin banded lichen moth,Lepidoptera,Erebidae
1150,Tachopteryx thoreyi,"Gray Petaltail, Thorey's Grayback",Odonata,Petaluridae
1151,Chloroclystis filata,filata moth,Lepidoptera,Geometridae
1152,Timandra comae,Blood-vein,Lepidoptera,Geometridae
1153,Cicindela formosa,big sand tiger beetle,Coleoptera,Carabidae
1154,Arctia parthenos,St. Lawrence Tiger Moth,Lepidoptera,Erebidae
1155,Tosale oviplagalis,Dismorphic Tosale Moth,Lepidoptera,Pyralidae
1156,Phlogophora iris,the olive angle shades,Lepidoptera,Noctuidae
1157,Dysphania militaris,False Tiger Moth,Lepidoptera,Geometridae
1158,Agriocnemis femina,"Variable Wisp, Pinhead Wisp",Odonata,Coenagrionidae
1159,Plebejus melissa,The Melissa blue,Lepidoptera,Lycaenidae
1160,Atlides halesus,Great Purple Hairstreak,Lepidoptera,Lycaenidae
1161,Parthenos sylvia,clipper butterfly,Lepidoptera,Nymphalidae
1162,Bicyrtes quadrifasciatus,four-banded stink bug hunter wasp,Hymenoptera,Crabronidae
1163,Epargyreus clarus,Silver-Spotted Skipper,Lepidoptera,Hesperiidae
1164,Helicoverpa armigera,Cotton Bollworm or Corn Earworm,Lepidoptera,Noctuidae
1165,Polites themistocles,Tawny-edged Skipper,Lepidoptera,Hesperiidae
1166,Hemaris thysbe,Hummingbird Moth,Lepidoptera,Sphingidae
1167,Megatibicen dealbatus,Plains Cicada,Hemiptera,Cicadidae
1168,Vanessa itea,Yellow Admiral,Lepidoptera,Nymphalidae
1169,Bombus borealis, northern amber bumblebee,Hymenoptera,Apidae
1170,Euplagia quadripunctaria,Jersey tiger,Lepidoptera,Erebidae
1171,Eueides isabella,"Isabella's longwing, Isabella's heliconian",Lepidoptera,Nymphalidae
1172,Sympetrum pedemontanum,Banded Darter,Odonata,Libellulidae
1173,Thymelicus sylvestris,Small Skipper,Lepidoptera,Hesperiidae
1174,Megatibicen resh,Resh Cicada,Hemiptera,Cicadidae
1175,Graphocephala versuta,Versute Sharpshooter,Hemiptera,Cicadellidae
1176,Circopetes obtusata,,Lepidoptera,Geometridae
1177,Hyles lineata,white-lined sphinx,Lepidoptera,Sphingidae
1178,Hypercompe oslari,,Lepidoptera,Erebidae
1179,Calopteryx haemorrhoidalis,"copper demoiselle,Mediterranean demoiselle       ",Odonata,Calopterygidae
1180,Neptis sappho,"Pallas' Sailer, Common Glider",Lepidoptera,Nymphalidae
1181,Polites mystic,Long Dash Skipper,Lepidoptera,Hesperiidae
1182,Nyctemera amicus,"Senecio Moth,  Cineraria Moth",Lepidoptera,Erebidae
1183,Euchloe ausonides,	Large Marble,Lepidoptera,Pieridae
1184,Limenitis arthemis,"red-spotted purple admiral, red-spotted white admiral",Lepidoptera,Nymphalidae
1185,Apantesis virgo,Virgin Tiger Moth,Lepidoptera,Erebidae
1186,Aglais milberti,"Fire-Rim Tortoiseshell, Milbert's Tortoiseshell",Lepidoptera,Nymphalidae
1187,Gomphocerippus rufus,rufous grasshopper,Orthoptera,Acrididae
1188,Patalene olyzonaria,juniper-twig geometer,Lepidoptera,Geometridae
1189,Melanargia lachesis,Iberian marbled white,Lepidoptera,Nymphalidae
1190,Lycaena dispar,large copper butterfly,Lepidoptera,Lycaenidae
1191,Zizeeria knysna,"Dark Grass Blue,African Grass Blue",Lepidoptera,Lycaenidae
1192,Zemeros flegyas,The Punchinello,Lepidoptera,Riodinidae
1193,Pholisora catullus,"the common sootywing, roadside rambler",Lepidoptera,Hesperiidae
1194,Chrysolina americana,rosemary beetle,Coleoptera,Chrysomelidae
1195,Chrysopilus thoracicus,golden backed snipe fly,Diptera,Rhagionidae
1196,Scaphinotus angusticollis,Snail-killer Carabid,Coleoptera,Carabidae
1197,Elaphria festivoides,Festive Midget Moth,Lepidoptera,Noctuidae
1198,Ceratomia undulosa,the waved sphinx,Lepidoptera,Sphingidae
1199,Euphoria kernii,Kern's flower scarab,Coleoptera,Scarabaeidae
1200,Lestes inaequalis,elegant spreadwing,Odonata,Lestidae
1201,Chlorochlamys chloroleucaria,Blackberry Looper,Lepidoptera,Geometridae
1202,Melanoplus bivittatus,Two-striped Grasshopper,Orthoptera,Acrididae
1203,Eurydema ornata,shield bug,Hemiptera,Pentatomidae
1204,Epirrita autumnata,Autumnal Moth,Lepidoptera,Geometridae
1205,Bombus sonorus,sonoran bumble bee,Hymenoptera,Apidae
1206,Cenopis pettitana,Maple-Basswood Leafroller,Lepidoptera,Tortricidae
1207,Stagmomantis limbata,Bordered Mantis,Mantodea,Mantidae
1208,Myathropa florea,Deadhead Hoverfly,Diptera,Syrphidae
1209,Noctua pronuba,Large Yellow Underwing,Lepidoptera,Noctuidae
1210,Microtheoris ophionalis,Yellow-Viened Moth,Lepidoptera,Crambidae
1211,Diprion similis,White Pine Sawfly,Hymenoptera,Diprionidae
1212,Moduza procris,The Commander Butterfly,Lepidoptera,Nymphalidae
1213,Agrotis exclamationis,Heart and Dart,Lepidoptera,Noctuidae
1214,Cimbex americanus,elm sawfly,Hymenoptera,Cimbicidae
1215,Copera marginipes,Yellow bush dart,Odonata,Platycnemididae
1216,Polistes metricus,"Metric Paper Wasp,Red Paper Wasp",Hymenoptera,Vespidae
1217,Ischnura heterosticta,common bluetail,Odonata,Coenagrionidae
1218,Culex quinquefasciatus,southern house mosquito,Diptera,Culicidae
1219,Xanthagrion erythroneurum,Red and Blue Damsel,Odonata,Coenagrionidae
1220,Eristalis stipator,yellow-shouldered drone fly,Diptera,Syrphidae
1221,Scolecocampa liburna,dead-wood borer,Lepidoptera,Erebidae
1222,Thorybes bathyllus,Southern Cloudywing,Lepidoptera,Hesperiidae
1223,Oecophylla smaragdina,weaver ant,Hymenoptera,Formicidae
1224,Xanthocnemis zealandica,Red Damselfly,Odonata,Coenagrionidae
1225,Agnorisma badinodis,Pale-Banded Dart,Lepidoptera,Noctuidae
1226,Volucella pellucens,Pellucid Fly,Diptera,Syrphidae
1227,Phaeoura quernaria,oak beauty moth,Lepidoptera,Geometridae
1228,Malacosoma neustria,Lackey moth,Lepidoptera,Lasiocampidae
1229,Melitaea athalia,Health Fritillary,Lepidoptera,Nymphalidae
1230,Tramea lacerata,Black Saddlebags,Odonata,Libellulidae
1231,Lethe appalachia,"Appalachian brown, Appalachian eyed brown butterfly",Lepidoptera,Nymphalidae
1232,Ellida caniplaga,Linden Prominent Moth,Lepidoptera,Notodontidae
1233,Danaus petilia,Lesser wanderer,Lepidoptera,Nymphalidae
1234,Thyatira batis,Peach Blossom,Lepidoptera,Drepanidae
1235,Adversaeschna brevistyla,Blue-Spotted Hawker,Odonata,Aeshnidae
1236,Triorla interrupta,,Diptera,Asilidae
1237,Larinus carlinae,weevil beetle,Coleoptera,Curculionidae
1238,Lycaena arota,weevil beetle,Lepidoptera,Lycaenidae
1239,Callophrys gryneus,"juniper hairstreak, olive hairstreak",Lepidoptera,Lycaenidae
1240,Pyrisitia lisa,Little Yellow,Lepidoptera,Pieridae
1241,Creatonotos transiens,clouded tiger moth,Lepidoptera,Erebidae
1242,Idaea aversata,riband wave,Lepidoptera,Geometridae
1243,Alypia octomaculata,Eight-Spotted Forester,Lepidoptera,Noctuidae
1244,Phigalia strigataria,small phigalia moth,Lepidoptera,Geometridae
1245,Nehalennia irene,Sedge Sprite,Odonata,Coenagrionidae
1246,Camponotus niveosetosus, hairy sugar ant,Hymenoptera,Formicidae
1247,Ctenucha virginica,Virginia ctenucha,Lepidoptera,Erebidae
1248,Diplacodes bipunctata,Wandering Percher,Odonata,Libellulidae
1249,Sphinx kalmiae,Laurel sphinx,Lepidoptera,Sphingidae
1250,Lestes eurinus,amber-winged spreadwing,Odonata,Lestidae
1251,Choristoneura fumiferana,eastern spruce budworm,Lepidoptera,Tortricidae
1252,Enallagma basidens,Double-Striped Bluet,Odonata,Coenagrionidae
1253,Tessaratoma papillosa,Lychee Giant Stink Bug,Hemiptera,Tessaratomidae
1254,Cucullia convexipennis,brown hooded owlet,Lepidoptera,Noctuidae
1255,Jikradia olitoria,Coppery Leafhopper,Hemiptera,Cicadellidae
1256,Romalea microptera,"eastern lubber grasshopper, Florida lubber, Florida lubber grasshopper",Orthoptera,Romaleidae
1257,Perithemis intensa,mexican amberwing,Odonata,Libellulidae
1258,Gomphus vulgatissimus,common clubtail,Odonata,Gomphidae
1259,Colocasia propinquilinea,closebanded yellowhorn,Lepidoptera,Noctuidae
1260,Zygaena transalpina,,Lepidoptera,Zygaenidae
1261,Propylea quatuordecimpunctata,14-spotted ladybird beetle,Coleoptera,Coccinellidae
1262,Erebia euryale,Erebia Euryale,Lepidoptera,Nymphalidae
1263,Trimerotropis pallidipennis,Pallid-winged Grasshopper,Orthoptera,Acrididae
1264,Orthetrum coerulescens,The keeled skimmer,Odonata,Libellulidae
1265,Eurema daira,"fairy yellow, barred yellow, barred sulphur",Lepidoptera,Pieridae
1266,Phocides polybius,Guava Skipper,Lepidoptera,Hesperiidae
1267,Toxomerus occidentalis,Maize Calligrapher,Diptera,Syrphidae
1268,Sphinx ligustri,Privet Hawk-Moth,Lepidoptera,Sphingidae
1269,Anteos clorinde,White Angled-Sulphur ,Lepidoptera,Pieridae
1270,Rhyothemis graphiptera,"the graphic flutterer, banded flutterer",Odonata,Libellulidae
1271,Colias eurytheme,"orange sulfur, alfalfa butterfly",Lepidoptera,Pieridae
1272,Anisomorpha buprestoides,Southern Two-Striped Walingstick ,Phasmida,Pseudophasmatidae
1273,Polygonia c-album,"anglewing butterfly, comma butterfly",Lepidoptera,Nymphalidae
1274,Boloria selene,Silver Meadow Fritillary,Lepidoptera,Nymphalidae
1275,Aphomia sociella,"Bee Moth, Bumble Bee Wax Moth",Lepidoptera,Pyralidae
1276,Creatonotos gangis,,Lepidoptera,Erebidae
1277,Heliocypha perforata,Common Blue Jewel,Odonata,Chlorocyphidae
1278,Macrurocampa marthesia,mottled prominent moth,Lepidoptera,Notodontidae
1279,Stictoleptura canadensis,Red-shouldered Pine Borer,Coleoptera,Cerambycidae
1280,Halmus chalybeus,steel blue lady beetle,Coleoptera,Coccinellidae
1281,Eulithis explanata,"white eulithis,",Lepidoptera,Geometridae
1282,Cupido minimus,small blue,Lepidoptera,Lycaenidae
1283,Erebia medusa,Woodland Ringlet,Lepidoptera,Nymphalidae
1284,Aedes vexans,"Inland Floodwater Mosquito, Tomguito",Diptera,Culicidae
1285,Lasiommata maera,large wall brown butterfly,Lepidoptera,Nymphalidae
1286,Vespa crabro,European Hornet,Hymenoptera,Vespidae
1287,Flatormenis proxima,"northern flatid planthopper, mealy flatid planthopper",Hemiptera,Flatidae
1288,Amphibolips quercuspomiformis,"Live Oak Gallfly, Apple Gall Wasp",Hymenoptera,Cynipidae
1289,Clytus arietis,wasp beetle,Coleoptera,Cerambycidae
1290,Udea ferrugalis,Rusty Dot Pearl,Lepidoptera,Crambidae
1291,Daphnis nerii,Oleander hawk-moth,Lepidoptera,Sphingidae
1292,Ixias pyrene,Yellow orange tip,Lepidoptera,Pieridae
1293,Gomphurus externus,plains clubtail,Odonata,Gomphidae
1294,Nematocampa resistaria,"Horned Spanworm Moth, Filament Bearer, Bordered Thorn Moth",Lepidoptera,Geometridae
1295,Bombus pensylvanicus,American bumble bee,Hymenoptera,Apidae
1296,Caria ino,red-bordered metalmark,Lepidoptera,Riodinidae
1297,Callopistria mollissima, pink-shaded fern moth,Lepidoptera,Noctuidae
1298,Hellula hydralis,cabbage centre grub,Lepidoptera,Crambidae
1299,Malacosoma californica,western tent caterpillar,Lepidoptera,Lasiocampidae
1300,Sphrageidus similis,gold-tail moth,Lepidoptera,Erebidae
1301,Phanaeus vindex,rainbow scarab,Coleoptera,Scarabaeidae
1302,Eilema lurideola,Common Footman,Lepidoptera,Erebidae
1303,Sphex ichneumoneus,"the great golden digger wasp, great golden sand digger",Hymenoptera,Sphecidae
1304,Pogonomyrmex californicus,California harvester ant,Hymenoptera,Formicidae
1305,Phanogomphus lividus,ashy clubtail,Odonata,Gomphidae
1306,Cetonia aurata,"rose chafer, green rose chafer",Coleoptera,Scarabaeidae
1307,Monobia quadridens,Four-Toothed Mason Wasp,Hymenoptera,Vespidae
1308,Bleptina caradrinalis,"bent-winged owlet, variable snout moth",Lepidoptera,Erebidae
1309,Erythrodiplax berenice,Seaside Dragonlet,Odonata,Libellulidae
1310,Anthanassa tulcis,Pale-banded Crescent ,Lepidoptera,Nymphalidae
1311,Miomantis caffra,"South African Mantis, Springbok Mantis",Mantodea,Miomantidae
1312,Apatelodes torrefacta,Spotted Apatelodes,Lepidoptera,Apatelodidae
1313,Polygonia satyrus,the satyr comma,Lepidoptera,Nymphalidae
1314,Helicoverpa zea,corn earworm,Lepidoptera,Noctuidae
1315,Euthyrhynchus floridanus,Florida predatory stink bug,Hemiptera,Pentatomidae
1316,Nyctemera adversata,Marbled White Moth,Lepidoptera,Erebidae
1317,Leuconycta lepidula,marbled-green leuconycta moth,Lepidoptera,Noctuidae
1318,Craniophora ligustri,coronet moth,Lepidoptera,Noctuidae
1319,Lon zabulon,zabulon skipper,Lepidoptera,Hesperiidae
1320,Laphria macquarti,bumblebee mimic robber fly,Diptera,Asilidae
1321,Lophocampa argentata,silver-spotted tiger moth,Lepidoptera,Erebidae
1322,Poanes viator,Broad-winged Skipper,Lepidoptera,Hesperiidae
1323,Sphex nudus,katydid wasp,Hymenoptera,Sphecidae
1324,Calopteryx splendens,banded demoiselle,Odonata,Calopterygidae
1325,Galgula partita,The Wedgling Moth,Lepidoptera,Noctuidae
1326,Junonia oenone,Blue pansy,Lepidoptera,Nymphalidae
1327,Orvasca subnotata,nygmiine tussock moth,Lepidoptera,Erebidae
1328,Anoplolepis gracilipes,Yellow Crazy Ant,Hymenoptera,Formicidae
1329,Nymphalis polychloros,"Large Tortoiseshell, Blackleg Tortoiseshell",Lepidoptera,Nymphalidae
1330,Orgyia vetusta,Western tussock moth,Lepidoptera,Erebidae
1331,Forficula auricularia,European earwig,Dermaptera,Forficulidae
1332,Sparganothoides lentiginosana,lentiginos moth,Lepidoptera,Tortricidae
1333,Orgyia detrita,fir tussock moth,Lepidoptera,Erebidae
1334,Parapediasia teterrellus,bluegrass webworm moth,Lepidoptera,Crambidae
1335,Abaeis nicippe,Sleepy Orange ,Lepidoptera,Pieridae
1336,Megatibicen auletes,Northern Dusk Singing Cicada,Hemiptera,Cicadidae
1337,Toxomerus geminatus,Eastern Calligrapher,Diptera,Syrphidae
1338,Speyeria cybele,Great Spangled Fritillary,Lepidoptera,Nymphalidae
1339,Eutrapela clemataria,Curve-toothed geometer moth,Lepidoptera,Geometridae
1340,Helophilus trivittatus,The Footballer,Diptera,Syrphidae
1341,Aspidimorpha miliaris,Tortoiseshell Beetle,Coleoptera,Chrysomelidae
1342,Nemoria bistriaria,Two-Striped Emerald,Lepidoptera,Geometridae
1343,Papilio protenor,Spangle Butterfly,Lepidoptera,Papilionidae
1344,Andricus quercuscalifornicus,California Gall Wasp,Hymenoptera,Cynipidae
1345,Cypherotylus californicus,blue fungus beetle,Coleoptera,Erotylidae
1346,Peridea basitriens,oval-based prominent moth,Lepidoptera,Notodontidae
1347,Lethe anthedon,northern pearly-eye butterfly,Lepidoptera,Nymphalidae
1348,Graphosoma italicum,"Striped bug, Italian striped bug,Minstrel bug",Hemiptera,Pentatomidae
1349,Baileya doubledayi,"
Doubleday's Baileya",Lepidoptera,Nolidae
1350,Crocallis elinguaria,scalloped oak,Lepidoptera,Geometridae
1351,Apoda biguttata,Shegreened Slug Moth,Lepidoptera,Limacodidae
1352,Lerodea eufala,eufala skipper,Lepidoptera,Hesperiidae
1353,Neoclytus acuminatus,Red-Headed Ash Borer,Coleoptera,Cerambycidae
1354,Cosmodes elegans,green blotched moth,Lepidoptera,Noctuidae
1355,Callosamia promethea,"promethea silkmoth,spicebush silkmoth",Lepidoptera,Saturniidae
1356,Leptotes pirithous,"common zebra blue, Lang's short-tailed blue butterfly",Lepidoptera,Lycaenidae
1357,Xestia c-nigrum,Setaceous Hebrew character,Lepidoptera,Noctuidae
1358,Endrosis sarcitrella,White-Shouldered House Moth,Lepidoptera,Oecophoridae
1359,Macaria pustularia,lesser maple spanworm moth,Lepidoptera,Geometridae
1360,Lycaena gorgon,lesser maple spanworm moth,Lepidoptera,Lycaenidae
1361,Baileya ophthalmica,the eyed baileya,Lepidoptera,Nolidae
1362,Hemaris fuciformis,broad-bordered bee hawk-moth,Lepidoptera,Sphingidae
1363,Polygonia interrogationis,The question mark,Lepidoptera,Nymphalidae
1364,Empusa pennata,Conehead Mantis,Mantodea,Empusidae
1365,Mythimna unipuncta,"Armyworm Moth, True Armyworm Moth",Lepidoptera,Noctuidae
1366,Graphocephala atropunctata,The blue-green sharpshooter,Hemiptera,Cicadellidae
1367,Milionia zonea,,Lepidoptera,Geometridae
1368,Endotricha mesenterialis,,Lepidoptera,Pyralidae
1369,Elaphria chalcedonia,Chalcedony Midget Moth,Lepidoptera,Noctuidae
1370,Spragueia guttata,Spotted Spraguelum,Lepidoptera,Noctuidae
1371,Cicindela hirticollis,,Coleoptera,Carabidae
1372,Samea baccatalis,,Lepidoptera,Crambidae
1373,Cicindela trifasciata,S-banded tiger beetle,Coleoptera,Carabidae
1374,Orthetrum testaceum,	Scarlet Skimmer,Odonata,Libellulidae
1375,Reduvius personatus,the masked hunter,Hemiptera,Reduviidae
1376,Theretra nessus,Yam Hawk Moth,Lepidoptera,Sphingidae
1377,Evergestis pallidata,Purple-backed Cabbageworm,Lepidoptera,Crambidae
1378,Pyrgus malvae,grizzled skipper,Lepidoptera,Hesperiidae
1379,Lacinipolia laudabilis,laudable arches moth,Lepidoptera,Noctuidae
1380,Lateroligia ophiogramma,double lobed moth,Lepidoptera,Noctuidae
1381,Cotesia congregata,,Hymenoptera,Braconidae
1382,Mycalesis mucianus,South China Bushbrown,Lepidoptera,Nymphalidae
1383,Sympetrum danae,"Black Darter, Black Meadowhawk",Odonata,Libellulidae
1384,Apamea monoglypha,Dark Arches,Lepidoptera,Noctuidae
1385,Catopsilia pyranthe,"
White Migrant, Common Migrant",Lepidoptera,Pieridae
1386,Choephora fungorum,Bent-line dart,Lepidoptera,Noctuidae
1387,Phalaenophana pyramusalis,dark-banded owlet moth,Lepidoptera,Erebidae
1388,Mormidea lugens,,Hemiptera,Pentatomidae
1389,Anthocharis midea,Falcate Orangetip,Lepidoptera,Pieridae
1390,Oecanthus nigricornis,"common tree cricket,black-horned tree cricket",Orthoptera,Gryllidae
1391,Dythemis velox,Swift Setwing,Odonata,Libellulidae
1392,Ascia monuste,"Great Southern White, Pirpinto Butterfly",Lepidoptera,Pieridae
1393,Trichiotinus assimilis,"Hairy Flower Scarab, Flower Chafer",Coleoptera,Scarabaeidae
1394,Maruca vitrata,Bean Pod Borer,Lepidoptera,Crambidae
1395,Echinargus isola,Reakirt's Blue,Lepidoptera,Lycaenidae
1396,Archips argyrospila,Fruit-Tree Leafroller Moth,Lepidoptera,Tortricidae
1397,Achyra rantalis,Garden Webworm ,Lepidoptera,Crambidae
1398,Thysanoplusia orichalcea,Slender Burnished Brass,Lepidoptera,Noctuidae
1399,Apamea sordens,"Rustic Shoulder-Knot, Bordered Apaea",Lepidoptera,Noctuidae
1400,Chelinidea vittiger,Cactus Coreid,Hemiptera,Coreidae
1401,Orientus ishidae,"Japanese leafhopper, Mosaic leafhopper",Hemiptera,Cicadellidae
1402,Xerociris wilsonii,Wilson's Wood-Nymph,Lepidoptera,Noctuidae
1403,Apamea amputatrix,Yellow-Headed Cutworm ,Lepidoptera,Noctuidae
1404,Ptecticus trivittatus,"Yellow Soldier Fly, Compost Fly",Diptera,Stratiomyidae
1405,Marpesia chiron,Many-banded Daggerwing,Lepidoptera,Nymphalidae
1406,Clytra laeviuscula,Ant bag beetle,Coleoptera,Chrysomelidae
1407,Parasa chloris,smaller parasa,Lepidoptera,Limacodidae
1408,Agrotis porphyricollis,Variable Cutworm,Lepidoptera,Noctuidae
1409,Dorocordulia libera,Racket-Tailed Emerald,Odonata,Corduliidae
1410,Idaea seriata,Small dusty wave,Lepidoptera,Geometridae
1411,Scudderia mexicana,Mexican bush katydid,Orthoptera,Tettigoniidae
1412,Agriocnemis pygmaea,"Wandering Midget, Pygmy Dartlet, 
Wandering Wisp",Odonata,Coenagrionidae
1413,Ophraella communa,ragweed leaf beetle,Coleoptera,Chrysomelidae
1414,Libellago lineata,river heliodor,Odonata,Chlorocyphidae
1415,Gymnandrosoma punctidiscanum,dotted ecdytolopha moth,Lepidoptera,Tortricidae
1416,Rhyothemis phyllis,Yellow-barred Flutterer,Odonata,Libellulidae
1417,Chytolita morbidalis,Morbid owlet moth,Lepidoptera,Erebidae
1418,Chlosyne theona,Theona checkerspot,Lepidoptera,Nymphalidae
1419,Chrysochus auratus,Dogbane beetle,Coleoptera,Chrysomelidae
1420,Sigilliclystis insigillata,Insigillated Pug,Lepidoptera,Geometridae
1421,Eupeodes corollae,Vagrant Hoverfly,Diptera,Syrphidae
1422,Notocrypta curvifascia,Restricted Demon,Lepidoptera,Hesperiidae
1423,Sympetrum sanguineum,Ruddy Darter,Odonata,Libellulidae
1424,Ischnura posita,Fragile Forktail,Odonata,Coenagrionidae
1425,Argia tibialis,Blue-Tipped Dancer,Odonata,Coenagrionidae
1426,Melanargia galathea,Marbled White,Lepidoptera,Nymphalidae
1427,Tessellana tessellata,Brown -spotted Bush-cricket,Orthoptera,Tettigoniidae
1428,Danaus chrysippus,"Plain tiger, african queen, african monarch",Lepidoptera,Nymphalidae
1429,Exochomus quadripustulatus,"Pine ladybird, pine lady beetle",Coleoptera,Coccinellidae
1430,Zerynthia polyxena,Southern Festoon,Lepidoptera,Papilionidae
1431,Ancistrocerus antilope,Eumenid Solitary Wasp,Hymenoptera,Vespidae
1432,Lycaena tityrus,sooty copper,Lepidoptera,Lycaenidae
1433,Ischnura cervula,Pacific Forktail,Odonata,Coenagrionidae
1434,Lacanobia oleracea,bright-line brown-eye moth,Lepidoptera,Noctuidae
