Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Trachymela sloanei,"Austrailian Tortoise Beetle, Small Eucalyptus Tortoise Beetle",Liza,"Brown mottled black beetle. Short orange-brown legs extending from body, capped oblong.",Body is dark brown mottled with black. Short orange-brown legs extend away from body. Final metatarsal oblong.,"Trachymela sloanei is a small, black beetle with a glossy, metallic sheen. It has a rounded body and short antennae. Its head is slightly wider than its thorax, and its legs are short and stout. Its wings are short and broad, and its elytra are smooth and shiny. Its abdomen is yellowish-brown in color.",1099
Manduca sexta,Tobacco Hornworm,Liza,"Large bright green caterpillar. Diagonal white lines on body, upper bordered black. Brown spots centered black along sides. Orange, brown, or red curved horn end of body.","Large green body. Dorsal horn, usually curved and orange, pink, or red on terminal abdominal segment. Up to seven oblique whitish lateral lines, edged with black on upper borders. Small brown circles black centers lower on abdominal sides.","Manduca sexta is a large, robust moth with a wingspan of up to 5 inches. The forewings are dark brown with a pale yellowish-brown band running across the middle. The hindwings are a pale yellowish-brown with a dark brown border. The body is a dark brown with a yellowish-brown stripe running down the middle. The antennae are long and thin. The legs are long and thin with a yellowish-brown stripe running down the middle.",8741
Apodemia virgulti,Behr's Metalmark ,Liza,Dark brown to black body. Orange wings heavily spotted with white capped black. Black wing tips and margins.,"Dark brown to black body. Forewings orange, spotted white with black caps. Wing tips thick black line, white spots. Margins black and white striped. Hindwings start dark brown with white spots. Thick orange median line, then posterior wing tips thick dark line with  spots. Hindwing margins striped black and white.",Apodemia virgulti is a small butterfly with a wingspan of about 1.5 inches (3.8 cm). The upper side of the wings is a dark brown color with a white band running across the middle. The underside of the wings is a light brown color with a white band running across the middle. The body is black with white spots on the abdomen. The antennae are black and white.,2491
Maniola jurtina,Meadow Brown,Liza,"Brown body and wings. Upper wings have large orange patch towards ends, with single large black circle in orange patch. Black circle may have tiny white dot in center.","Brown body. Wings dusty brown color. Distal end of forewings have large orange patch. Single large black circle, sometime white center, in orange patch. Underside of hindwings sometime have two small black dots.",Maniola jurtina is a medium-sized butterfly with a wingspan of approximately 40-50 mm. The upper side of the wings is a bright orange-brown color with a black border and white spots. The underside of the wings is a pale yellow-brown color with a black border and white spots. The antennae are black and white. The body is black and white with a yellow-brown abdomen.,18485
Helophilus pendulus,"dangling marsh-lover, sun fly",Liza,"Upper body black with vertical yellow stripes. Lower body yellow with black patches. Translucent wings, tinted brown.","Yellow head primarily taken up with large black eyes. Black thorax, four vertical yellow stripes. Abdomen yellow, four interconnected black patches. Translucent wings, tinted brown.","Helophilus pendulus is a small, slender species of hoverfly. It has a yellow-brown body with a black stripe running down the middle of its back. Its wings are transparent and its eyes are large and black. Its antennae are short and black. Its legs are yellow-brown and its abdomen is black with yellow markings.",5557
Diastictis fracturalis,Fractured Western Snout Moth,Liza,"At rest forms triangular shape. Yellow-brown wings, four white patches per wing. Long legs and antennae.","At rest wings form triangular shape. Yellow-brown wings, four white patches per forewing. First two patches long and continuous, last two patches shorter and staggered from each other. Long extending legs and long antennae.","Diastictis fracturalis is a small, slender species of weevil beetle. It is typically black in color, with a glossy, metallic sheen. Its body is elongated and slightly curved, and its head is rounded. Its antennae are long and thin, and its legs are short and stout. Its wings are short and rounded, and its elytra are smooth and shiny. Its abdomen is long and narrow, and its legs are covered in short, fine hairs.",1482
Spodoptera frugiperda,Fall Armyworm,Liza,Green to brown body. White lines down side of body. Heads can be black to orange-brown.," First instar greenish with black head; second instar head orangish, body becomes brownish, lateral white lines in second and third instars; fourth through sixth instars head reddish-brown mottled white, body brownish with white subdorsal and lateral lines; dark elevated spots bearing spines appear dorsally on body. Face of mature larva marked with white inverted ""Y"".",Spodoptera frugiperda is a small moth species with a wingspan of about 1.5 inches. Its wings are a light brown color with a darker brown pattern of spots and stripes. Its body is a light yellowish-brown color with a darker brown head. Its antennae are long and thin.,2460
Hamadryas feronia,Variable Cracker,Liza,"Brown and white wings, some blue shading possible. Black eyespots with white center lower end of wings.","Upper side of forewing is brown and white, sometimes bluish. Hindwing eyespots are black, white center, surrounded by a blue ring. Underside of hindwing is white or tan-white with submarginal black rings.",Hamadryas feronia is a medium-sized butterfly with a wingspan of approximately 3.5-4.5 cm. The upper side of the wings is a bright orange-red color with a black border and white spots. The underside of the wings is a duller orange-brown color with a white border and black spots. The antennae are black with a white tip.,2013
Ammophila procera,Thread-Waisted Wasp ,Liza,"Black body, very narrow waist. Orange spot past thin waist. Semi-translucent brown-black wings.","Black body, abdomen long and stalked, giving thread like wait appearance. Orange spot mid abdomen. Semi-translucent brown-black wings.","Ammophila procera is a species of grass that grows in sandy soils. It is a perennial grass with a deep root system and a tall, upright growth habit. The stems are slender and can reach up to 1.5 meters in height. The leaves are long and narrow, and are a light green color. The flowers are small and yellow, and are arranged in a spike-like inflorescence. The seed heads are small and brown, and are dispersed by the wind.",980
Polyphylla decemlineata,"the watermelon beetle, ten-lined June beetle",Liza,"Gold body, white vertical stripes. Large multi-lobed antennae.","Gold head, thorax, abdomen, and elytra. Three white stripes on thorax. Elytra has three white stripes per side, and a white stripe along the dividing line. Large lamellate antennae.","Polyphylla decemlineata is a large, black beetle with a glossy, hard exoskeleton. It has a long, narrow body with ten distinct white stripes running down its back. Its head is black and its antennae are long and thin. Its legs are short and stout, and its wings are short and rounded. Its underside is yellowish-brown in color.",2079
Nomophila noctuella,Rush Veneer,Liza,"At rest, long narrow shape with overlapping wings. Wings light brown with darker brown patches. Pale colored legs.","At rest, wings overlap creating a long and narrow appearance. Wings light brown with darker brown semi circular patches. Pale colored, long legs.","Nomophila noctuella is a small moth species with a wingspan of about 12-15 mm. The forewings are greyish-brown with a white band running across the middle. The hindwings are pale grey with a darker grey border. The head and thorax are greyish-brown, and the abdomen is white. The antennae are short and feathery.",1633
Kleidocerys resedae,the birch catkin bug,Liza,"Red brown colored body, translucent wings. Antennae black at base, then red-brown, finally capped darker brown. ","Red-brown head and thorax. Darker abdomen covered with translucent wings. Median of wings pigmented brown and creates two triangular shapes on either side, corners almost touching. Above this, darker brown patch capped with white.","Kleidocerys resedae is a small, dark-colored beetle with a length of about 2.5-3.5 mm. Its body is oval-shaped and has a glossy black color. Its head is slightly narrower than its thorax and has a pair of large eyes. Its antennae are short and club-shaped. Its legs are short and stout. Its wings are short and broad, and its elytra are smooth and shiny.",3433
Castalius rosimon,Common Pierrot,Liza,"Black and white striped body. White wings, black patches. Open wings have blue patch close to body. Two tails. Larvae are fat bodied and green, with rough texture.","White head, black thorax, black and white striped abdomen. Antennae black and white striped. White wings, black proximal line, black patches towards distal end of wings. Open forewings have proximal blue patches. Larvae short and fat bodied. Green with rough texture.",Castalius rosimon is a small butterfly with a wingspan of about 2.5 cm. Its upper wings are a bright orange color with black spots and its lower wings are a pale yellow color. Its body is black with white stripes and its antennae are black and white.,1797
Cosmia trapezina,dun-bar,Liza,"Adult moth buff colored wings, one darker stripe across. Larvae are green with yellow lines and tiny black spots along back.","Adult moth has buff colored wings, with darker stripe across wings. Larvae light green with yellow stripes on sides and white dorsal stripe. Tiny black dots along back.","Cosmia trapezina is a small moth with a wingspan of about 25-30 mm. Its forewings are a light greyish-brown color with a darker brown pattern of wavy lines and spots. Its hindwings are a pale yellowish-brown color. Its antennae are long and thin, and its body is slender and elongated.",912
Phanogomphus exilis,lancet clubtail,Liza,"Brown and back body, some green lines and spots. Translucent wings. Blue eyes.","Brown head and thorax, black abdomen. Some green spots on abdomen. Green stripes sides of face. Translucent wings. Blue eyes.","Phanogomphus exilis is a small dragonfly species, measuring between 2.2 and 2.6 cm in length. It has a slender body with a yellowish-brown thorax and a yellowish-green abdomen. Its eyes are yellowish-brown and its wings are clear with a yellowish-brown tinge. Its legs are yellowish-brown and its tail is yellowish-green.",3391
Symbrenthia lilaea,Common Jester,Liza,"Black and orange body. Wings horizontally striped black and orange. Closed wings orange with brownish spots. Larvae black, white spots along back, spiny hairs","Brown head, black thorax, orange abdomen. Wings striped horizontally black and orange. Closed wings orange with some brown spots. Larvae black with pairs of small white dots along back, spiney protrusions along body.",Symbrenthia lilaea is a small butterfly with a wingspan of about 2.5 cm. The upper side of the wings is a bright orange-red color with a black border and a white spot near the tip of the forewing. The underside of the wings is a pale yellow-orange color with a black border and a white spot near the tip of the forewing. The body is black with white spots on the abdomen.,981
Haploa clymene,Clymene moth,Liza,"White wings, wing margins primarily black. At rest, distinct black inverted cross pattern. Open wings, back wing orange, single black spot and sometimes black line. ","Orange head, white thorax, orange abdomen. Black stripe down center of thorax and abdomen. White wings, black forewing margins. Hindwings orange with single black spot and sometimes thick black line distal end. At rest, inverted black cross shape formed.",Haploa clymene is a medium-sized moth with a wingspan of about 2.5 inches. The forewings are a bright orange-red color with a black border and a white spot near the center. The hindwings are a pale yellow-orange color with a black border. The body is black with white stripes on the abdomen.,2502
Taeniopoda eques,Western Horse Lubber Grasshopper,Liza,"Shiny black body, yellow stripes on head and midbody. Yellow spots lower body. Wings black with yellow to white venation. Antennae yellow and black.","Shiny black body. Side of head single yellow stripe. Distal end of thorax striped yellow. Yellow spots along sides of abdomen. Tegmina black with white to yellow venation. Antennae start yellow, tipped black.","Taeniopoda eques is a small, slender species of grasshopper. It is typically light brown in color, with a dark brown stripe running down the center of its back. Its wings are short and rounded, and its legs are long and thin. Its head is small and rounded, and its antennae are long and thin. Its eyes are large and black.",883
Polites sabuleti,Sandhill skipper,Liza,"Small, fuzzy tan body, large black eyes. Closed wings yellow-tan some dark markings. Open wings orange, black markings. Caterpillar solid brown body, black head, white stripe behind head.","Small, fuzzy tan body. Underwings yellow-tan, few darker brown markings. Upper wings orange with some black markings. Caterpillar body solid brown, black head with white stripe towards end.",Polites sabuleti is a small butterfly species with a wingspan of approximately 1.5 inches. The upper side of the wings is a dark brown color with a white band running across the middle. The underside of the wings is a light brown color with a white band and several small black spots. The body is a light brown color with a white band running across the middle.,595
Sympecma paedisca,Siberian Winterdamsel,Liza,"Tan body, long and narrow. End of body, darker patches along back. Translucent wings",Long narrow abdomen. Tan colored body. Darker brown patches along back of abdomen. Translucent wings.,Sympecma paedisca is a small damselfly species with a body length of around 25-30mm. It has a slender body with a pale yellowish-brown colouration. The eyes are dark brown and the thorax is marked with a pale yellowish-brown stripe. The wings are transparent with a yellowish-brown tint and the abdomen is yellowish-brown with dark brown markings. The legs are yellowish-brown and the tail is black.,1405
Libellula luctuosa,widow skimmer,Liza,"Black head, blue body. Black patch on body where wings connect. Wings black close to body, followed by blue, then finally translucent at ends.","Black head, blue thorax and abdomen. Back of thorax and proximal abdomen black patch. Proximal wings black, median blue, distal end translucent.",Libellula luctuosa is a medium-sized dragonfly with a wingspan of up to 4.5 cm. It has a black body with yellow markings on the thorax and abdomen. The wings are transparent with a yellowish-brown tint. The eyes are black and the legs are yellow. The male has a yellow-tipped abdomen and the female has a black-tipped abdomen.,25375
Halyzia sedecimguttata,orange ladybird,Liza,"Yellow-orange body, small head. Sixteen white spots on back.","Small yellow head and yellow thorax. Orange-yellow elytra, eight white spots per wing, total sixteen white spots.","Halyzia sedecimguttata is a small beetle species that is typically black or dark brown in color. It has a glossy, smooth body and is about 3-4 mm in length. Its head is rounded and its antennae are short and club-shaped. It has a distinctive pattern of 12 white spots on its elytra, which are the hardened forewings of the beetle. Its legs are short and its abdomen is rounded.",2535
Monobia quadridens,Four-Toothed Mason Wasp,Liza,"Shiny black body, two white patches near head, two white stripes on body. Black non-opaque wings.","Shiny black body, two white patches start of thorax. White line end of abdomen. White line towards start of abdomen. Black non-opaque wing.","Monobia quadridens is a small, black ant species with a glossy exoskeleton. It has four spines on its thorax, which give it its name. Its antennae are long and thin, and its legs are short and stout. Its head is round and its eyes are small. Its mandibles are large and curved.",7211
Achatia distincta,Distinct Quaker,Liza,"Shiny green head, rest of body green. Numerous white spots along body. Five white stripes down back and sides.","Larva green with thin white or yellow stripes and numerous small white spots. Shiny head. Middorsal stripe thin, with white spot to either side; subdorsal stripe thickened, white.","Achatia distincta is a small, black and white butterfly with a wingspan of about 1.5 inches. Its wings are white with black spots and stripes, and its body is black with white spots. Its antennae are black and white, and its legs are black.",599
Chrysopa oculata,Green lacewing,Liza,"Long, thin green body. Large black eyes. Translucent wings bigger than body. Visible venation on wings creates lace appearance.","Long, thin green body. Thorax and distal end of abdomen thicker than rest of body. Large black eyes, long brown antennae. Large unpigmented, translucent wings. Visible venation creates lace like pattern.","Chrysopa oculata is a small, green lacewing species with a wingspan of about 10-15 mm. Its body is slender and elongated, and its head is slightly wider than its thorax. Its eyes are large and black, and its antennae are long and thin. Its wings are transparent and have a network of veins, giving them a lace-like appearance. Its legs are long and thin, and its abdomen is yellowish-green.",2818
Charidotella sexpunctata,Golden tortoise beetle,Liza,"Bright gold body, sometime black rings","Bright gold body, surrounded by transparent ring. Sometime elytra has black bullseye and one concentric black ring.","Charidotella sexpunctata is a small, black beetle with a glossy, metallic sheen. It has six white spots on its back, two on each elytron (wing cover) and two on the pronotum (the area between the head and the elytra). Its legs are black and its antennae are long and thin. It is typically around 3-4 mm in length.",2065
Neotibicen lyricen,Lyric Cicada,Liza,"Green head, brown and black body. Translucent wings with brown venation. Dark eyes and dark brown legs.","Green heads with dark eyes. Center thorax black, sides brown and green. White line dividing thorax and abdomen, black abdomen. Wings are translucent with brown venation.","Neotibicen lyricen is a species of cicada found in the eastern United States. It is a medium-sized cicada, with a body length of about 2.5 cm. Its body is black with yellowish-green markings on its wings and abdomen. Its eyes are black and its antennae are long and thin. Its wings are transparent and its legs are yellowish-green. Its song is a loud, buzzing sound that can be heard from a distance.",1037
Eilema sororcula,The Orange Footman,Liza,"Narrow pale orange-tan wings overlapping when at rest. Black legs. Larvae black with orange and white patches on back, and tufted white hair.","Adult moth narrow orange-tan wings overlap when at rest. Black legs. Larvae are black with orange and white spots on back, and tufts of white hairs.","Eilema sororcula is a small moth with a wingspan of about 20-25mm. Its forewings are a pale yellowish-brown color, with a dark brown pattern of wavy lines and spots. The hindwings are a darker brown color, with a pale yellowish-brown fringe. Its antennae are short and club-shaped.",721
Lestes barbarus,southern emerald damselfly,Liza,"Green and gold brown body. Golden legs with spines, and translucent wings with gold venation.",Gold head primarily taken up with large green eyes. Light green thorax with three darker emerald green stripes on sides and back. Green-gold abdomen. Legs are gold colored and have spines. Wings are translucent with gold venation.,"Lestes barbarus is a species of damselfly belonging to the family Lestidae. It is a medium-sized damselfly, with a body length of about 3 cm. The male has a black thorax with a yellow stripe down the middle, and a black abdomen with yellow spots. The female is similar in coloration, but with a brown thorax and abdomen. The wings are clear with a yellowish tint.",1011
Lygaeus equestris,black-and-red bug,Liza,"Primarily red bodied bug with black dots and black triangular patch on back. Towards end of body, black semicircle topped with triangle patch. Black patch has one white circle and two white lines.","Red head with black eyes. Thorax read with black band separating from head, with two black dots below this band. Additional black spot distal thorax. Abdomen has two large red triangles with points almost touching, black line across median of triangle. Above triangles, smaller red triangle with black triangle and spot within. Distal abdomen, a black semicircle topped with triangle patch. Black patch has one white circle and two white lines.","Lygaeus equestris is a small, black bug with a red-brown head and thorax. Its wings are black with a white band across the middle. Its legs are black and its abdomen is red-brown. It has a white spot on its back and two white spots on its head. Its antennae are black and its eyes are red.",2047
Autographa gamma," Silver Y moth, gamma owlet",Liza,"Light green larva with white line down either side. Three sets of legs far end of body, and two at front.","Light green larva, one white abdominal stripe down either side of body. Three sets of prolegs at distal end, and two sets of thoracic legs.","Autographa gamma is a small, slender moth with a wingspan of about 25-35 mm. Its forewings are grayish-brown with a white or yellowish-white band running across the middle. The hindwings are usually white or pale yellow. Its antennae are long and thin, and its body is covered in small, white scales.",9771
Ceriagrion coromandelianum,"coromandel marsh dart,yellow waxtail",Liza,"Green and yellow body, with bright blue eyes. Yellow legs and translucent wings with dark brown to black venation.",Green head and thorax. Bright blue eyes take up much of head. Yellow abdomen and legs. Translucent wings with dark brown to black venation.,"Ceriagrion coromandelianum is a species of damselfly belonging to the family Coenagrionidae. It is a medium-sized damselfly, with a body length of about 3 cm. The male has a bright blue thorax and a black abdomen with a yellow tip. The female is similar in color, but with a brownish-green thorax and a black abdomen with a yellow tip. The wings are transparent and have a yellowish-brown tint. The eyes are large and black.",1205
Ancistrocerus antilope,Eumenid Solitary Wasp,Liza,"Black wasp, few yellow bands. Small dark wings.","Black head and thorax. Black abdomen, 4-5 yellow stripes. Yellow legs. Long, narrow semi-translucent wings, tinted black.","Ancistrocerus antilope is a species of small, black wasp with yellow markings. It has a slender body and long antennae. Its wings are transparent and its legs are yellow. Its head is black and its thorax is yellow. Its abdomen is black with yellow stripes. It is approximately 8-10 mm in length.",1285
Papilio protenor,Spangle Butterfly,Liza,"Blue to purple wings, striped with black. Lower wings have pink patch with black circle. Blue and black body.","Black antennae, head, and thorax. Abdomen blue with black stripes or solid black. Open forewings dark blue to purple with black stripes evenly spaced. Hindwings darker blue proximal, and distally lighter blue to purple. Pink patch outline white and with black circle inside distal end of hindwings.","Papilio protenor is a large, colorful butterfly with a wingspan of up to 8 cm. The upper side of the wings is black with a broad yellow band across the middle and a white patch near the tip of the forewing. The underside of the wings is a mottled brown with yellow and white spots. The body is black with yellow stripes on the abdomen.",978
Lascoria ambigualis,ambiguous moth,Liza,"Larvae brownish-green bodies, with diagonal dark brown stripes down side.",Larvae brownish-green bodies. Diagonal dark brown stripes down either side of body.,"I'm sorry, but I cannot find any information on a species called Lascoria ambigualis. It is possible that this is an incorrect or misspelled scientific name. It is also possible that this species is not a well-known or well-studied one, and therefore there may not be much information available about it. I recommend double-checking the spelling of the scientific name and trying to find more information about this species through other sources such as academic databases or scientific literature.",2119
Chrysodeixis includens,soybean looper moth,Liza,"Light green body, white stripes on back and both sides. Front legs can be green or black. Two sets of legs at end of body.","Light to dark green body, white dorsal and lateral stripes. Body thicker at rear and tapers towards head . Thoracic legs can be black or green. Only two sets of abdominal prolegs. ","Chrysodeixis includens is a small, slender moth with a wingspan of about 1.5 cm. The forewings are yellowish-brown with a dark brown band running along the outer edge. The hindwings are pale yellow. The antennae are long and thread-like. The body is yellowish-brown with a dark brown stripe running along the back.",1975
Catocala neogama,the bride,Liza,"Upper wing grey, mottle brown spots. Resembles camo patter. Lower wing bright orange with two thick black stripes. Caterpillar dark greenish-grey body, some black spots. First three pairs of front legs protruding out from body.","Adult moth grey head and thorax. Abdomen orange. Forewings grey, black spots and stripes, resembles camo pattern. Hindwings bright orange, two thick black stripes. Caterpillar dark greenish-grey, some black spots on sides. Three pairs of forelegs protrude out from body.",Catocala neogama is a medium-sized moth with a wingspan of approximately 4 cm. The forewings are a dark greyish-brown color with a white band running across the middle. The hindwings are a pale yellowish-brown color with a white band running across the middle. The body is a light greyish-brown color with a white band running across the middle. The antennae are long and thin.,1172
Clydonopteron sacculana,Trumpet vine moth,Liza,"Wavy, brown, red, and orange wings with some grey shading. Upward turned snout like protrusion before eyes.","Forewing costa very wavy; forewing brownish-crimson, washed with orange. Some grey shading in subterminal area; white dash inward from costa. Upward turned snout like protrusion before eyes.",Clydonopteron sacculana is a small moth species with a wingspan of about 10-15 mm. Its forewings are a pale yellowish-brown color with a dark brown pattern of spots and lines. Its hindwings are a pale yellowish-brown color with a dark brown pattern of spots and lines. Its body is a light brown color with a yellowish-brown head and thorax. Its antennae are short and thread-like.,499
Utetheisa pulchella,"Crimson-speckled Flunkey, Crimson-speckled Footman, Crimson-speckled Moth",Liza,"White wings, orange striped bars and smaller black spots throughout wings. When open, lower wings solid white with brown stripes at edges.","When closed, wings are white with orange rectangular spots and smaller black circular spots. Open wings have previously described forewings, and white hindwings with thick brown stripe around distal edge.","Utetheisa pulchella is a small, brightly colored moth. It has a wingspan of about 1.5 inches (3.8 cm). The wings are a bright orange-red color with black spots and white stripes. The body is black with white stripes and orange-red spots. The antennae are black and white. The legs are black and white.",1112
Zanclognatha laevigata,Litter Moth,Liza,"Adult moth brown wings, two black circles on closed wings. Faint brown stripes across backs of wings.","Adult moth brown wings with darker brown median line. Two black patches, one on either forewings. ","Zanclognatha laevigata is a small, grayish-brown moth with a wingspan of about 1.2 cm. Its forewings are mottled with shades of gray and brown, and its hindwings are a pale gray. Its head and thorax are grayish-brown, and its abdomen is a darker brown. Its antennae are short and thread-like.",1076
Leucorrhinia glacialis,crimson-ringed whiteface,Liza,"Black body, large red patch center, where wings meet body. White stripe on head in front of eyes. Translucent wings, black venation.","Black head and eyes, with thick white stripe in front of eyes. Thorax predominantly red with some black. Black abdomen, white patch underside of proximal abdomen. Translucent wings with black venation.","Leucorrhinia glacialis is a species of dragonfly found in North America. It is a medium-sized dragonfly, with a body length of about 2.5 cm. Its body is black and yellow, with a yellow thorax and black abdomen. Its wings are transparent, with a yellowish-brown tint. Its eyes are black and its legs are yellow. Its wingspan is about 4 cm.",1163
Cycnia tenera,dogbane tiger moth,Liza,"White and yellow body, with black spots. White wings, upper margins bordered yellow. Larvae are fully covered in soft grey to white hair.","Adult moth has yellow head and thorax. Abdomen is white with yellow distal border of each segment, and black spot in each segment. Closed wings white with large yellow border proximal wings. Larvae are fully covered in soft grey to white hair.","Cycnia tenera is a small, delicate moth with a wingspan of about 1.5 cm. The forewings are a pale yellowish-brown color, while the hindwings are a darker brown. The body is a light brown color, and the antennae are short and thin. The legs are a light brown color, and the abdomen is a darker brown. The eyes are black and the wings are covered in small, white spots.",2449
Enicospilus purgatus,Short-Tailed ichneumon Wasp,Liza,"Skinny orange-brown body, black eyes, and long antennae. Translucent wings tinted amber.","Narrow body, orange-brown from head to abdomen. Large black eyes. Long orange-brown antennae. Translucent wings tinted amber.","Enicospilus purgatus is a small, black species of wasp with a metallic sheen. It has a slender body and long antennae. Its wings are transparent and its legs are yellow. Its head is black and its thorax is yellow with black stripes. Its abdomen is black with yellow spots.",828
Virbia aurantiaca,Orange Holomelina,Liza,"Orange-brown body, legs, and wings. Open lower wings have thick black stripe. Larvae black with white stripe down black, and tufts of coarse black hair.","Solid orange-brown body, legs, and wings. Open hindwings have thick distal black stripe. Larvae are solid black with white dorsal stripe, and tufts of coarse black hair.",Virbia aurantiaca is a small to medium-sized moth with a wingspan of about 1.5 inches (3.8 cm). The forewings are bright orange with a blackish-brown border and a white line running along the outer edge. The hindwings are yellowish-orange with a blackish-brown border. The body is blackish-brown with yellowish-orange markings.,852
Eristalis tenax,"the drone fly,rat-tailed maggot",Liza,Large black eyes with band of hair across eyes. Yellow and black body. Long and narrow translucent wings.,Hairy yellow head taken up by large black eyes with two bands of hair on eyes. Thorax centered black with yellow hairy ring. Abdomen striped yellow and black. Long and narrow translucent wings.,"Eristalis tenax is a species of hoverfly, also known as the drone fly. It is a medium-sized fly, typically measuring 8-12 mm in length. Its body is yellowish-brown in color, with a black stripe running down the center of its back. Its wings are transparent and have a yellowish-brown tint. Its eyes are large and reddish-brown in color. Its legs are yellowish-brown in color, and its antennae are black.",28625
Parnassius smintheus,"rocky mountain parnassian, rocky mountain apollo butterfly",Liza,"Black body, with black diffusing off of body to the white wings. Upper wing few black patches and sometimes pink at center of some black patches. Lower wings two large pink patches ringed black, and may have additional smaller such patches.","Black body. White wings except for black patch ringing body. Forewings have black patches, sometimes distal most has pink center. Hindwings have two large pink spots ringed in black. Additional smaller pink patches sometimes. Black patches at distal end of hindwings.","Parnassius smintheus is a large, white butterfly with a wingspan of up to 8 cm. The upper side of the wings is white with black markings, while the underside is white with yellow and black markings. The hindwings have a distinctive black and white checkered pattern. The antennae are black and white, and the body is white with black markings.",898
Dira clytus,Cape Autumn Widow,Liza,Solid brown body and wings. Tips of upper wings have yellow patches and two black eyes with white centers. Lower wings have five black eyes with white centers and ringed lighter brown.,"Solid brown body and wings. Thorax may have slightly darker shading. Forewings have yellow patches near distal ends, and two black eye with white center spots. Hindwings have five black eyes with white centers, and ringed lighter brown near distal end.","Dira clytus is a small, slender species of spider, measuring between 0.5 and 1.5 cm in length. It has a dark brown to black body, with a distinctive yellow-orange stripe running down the center of its abdomen. Its legs are long and thin, and its eyes are large and black. Its web is a tangled, messy web, often found in dark, damp places.",192
Lateroligia ophiogramma,double lobed moth,Liza,"Brown moth, lighter brown center of wings, darker brown near edges, and orange-brown near bottom of wings.",Wings three colors of brown. Tan around wing median and darker brown on either side. Orange-brown towards distal end of closed wings.,"Lateroligia ophiogramma is a small, slender species of sea snail. It has a glossy, yellowish-brown shell with a white apex and a white base. The shell is slightly curved and has a pointed spire. The aperture is oval and the outer lip is slightly thickened. The shell has about 5-6 whorls and the last whorl is slightly larger than the others. The shell has a few faint spiral lines and a few faint axial ribs. The animal has a yellowish-brown body with a white head and tentacles. The tentacles are long and thin and have a black tip. The foot is yellowish-brown and the mantle is white.",464
Deltote pygarga,Marbled White Spot Moth,Liza,"Adult moth mottle brown, black, and some orange shading. White patch lower on wings. Striped legs. Larvae are green-brown with darker brown stripe down back, and yellow-brown horizontal stripes along body.","Adult moth wings mottled brown and black, small orange patches near wing medians. Distal end of closed wings have large white patch. Legs striped black and white. Larvae are green-brown with darker brown dorsal stripe and yellow stripes delineating abdominal sections.","Deltote pygarga is a small, slender moth with a wingspan of approximately 20-25 mm. The forewings are a pale greyish-brown color with a darker brown patch near the base. The hindwings are a pale yellowish-brown color. The head and thorax are a dark brown color, and the abdomen is a pale yellowish-brown. The antennae are long and thin.",842
Helocassis clavata,"Tortoise Beetles,Thistle tortoise beetle",Liza,"Circular beetle, teddy beat shaped brown ridge, ringed translucent",Dorsum with large dark patch shaped like a teddy bear. Dorsum surrounded by translucent body. Yellow-brown legs and antennae.,"Helocassis clavata is a species of small, freshwater fish found in the rivers of Southeast Asia. It has a long, slender body with a pointed snout and a large, fan-shaped tail. Its body is typically a light brown color with darker brown stripes running along its sides. Its fins are typically yellowish-brown in color. It can reach up to 4 inches in length.",1285
Graphosoma italicum,"Striped bug, Italian striped bug,Minstrel bug",Liza,Reddish-orange and black striped bug,Shield shaped bug evenly striped black and yellow to reddish-orange.,"Graphosoma italicum is a species of shield bug found in Europe. It is a medium-sized bug, measuring between 8 and 10 millimeters in length. Its body is oval-shaped and has a black and yellow patterned exoskeleton. Its head is black and its antennae are yellow. Its legs are black and its wings are yellow with black markings. Its abdomen is yellow with black spots.",3459
Pyrausta volupialis,volupial pyrausta moth,Liza,"Pink moth, white stripe","Pink forewing, two white stripes per forewing. Grey hindwings. Greyish-white legs.","Pyrausta volupialis is a small moth species with a wingspan of about 10-15 mm. Its forewings are yellowish-brown with a dark brown pattern, while its hindwings are pale yellow. Its antennae are short and thread-like. Its body is slender and its legs are long and thin.",984
Sphinx ligustri,Privet Hawk-Moth,Liza,"Brown moth, white stripes. Narrow wings","Narrow, brown winged moth. Hindwings have brown-black and white stripes, forewings have white before margins. Abdomen striped brown and white-pink.","Sphinx ligustri is a large, robust moth with a wingspan of up to 5 inches (12.7 cm). The forewings are a dark brownish-gray color with a white band running across the middle. The hindwings are a lighter gray with a white band running along the outer edge. The body is a light gray with a yellowish-brown head and thorax. The antennae are long and thin.",1627
Libytheana carinenta,American snout butterfly,Liza,Black winged butterfly with white and orange spots,"Black topside wings, orange patches on sets of wings, white patches on topside forewings. Grey underside wings. Snout like labial palps.",Libytheana carinenta is a small butterfly with a wingspan of about 1.5 inches. The upper side of the wings is a dark brown color with a white band across the middle. The underside of the wings is a light brown color with a white band and several small spots. The body is black with white spots on the abdomen.,12437
Mocis latipes,"Small Mocis Moth,  Striped Grass Looper",Liza,Brown triangular shaped moth,Yellowish-brown forewing striped with darker brown. Pair of black dots may be present on inner margin forewings. Hindwings yellowish-brown striped pattern.,"Mocis latipes is a small moth species with a wingspan of about 1.5 inches. The forewings are yellowish-brown with a dark brown pattern, while the hindwings are yellowish-brown with a white fringe. The body is yellowish-brown with a dark brown head and thorax. The antennae are thread-like and the legs are yellowish-brown.",860
